CollarID	Latitude	Longitude
15438	-19.7600717	22.3897817
15438	-19.7599942	22.3898896
15438	-19.7599811	22.3897526
15438	-19.7599762	22.3898688
15438	-19.757676	22.4016281
15438	-19.7574543	22.4028423
15438	-19.7570836	22.4125634
15438	-19.7559895	22.3965126
15438	-19.7559852	22.3964451
15438	-19.7559781	22.3965199
15438	-19.7554498	22.3958722
15438	-19.755446	22.3877587
15438	-19.7554339	22.3958929
15438	-19.7548622	22.4155249
15438	-19.7532241	22.4159365
15438	-19.7527883	22.4054154
15438	-19.7526228	22.3876911
15438	-19.7525831	22.3877056
15438	-19.7525628	22.3876807
15438	-19.7524772	22.4022294
15438	-19.7523844	22.4061999
15438	-19.7523296	22.4022958
15438	-19.7521694	22.3962994
15438	-19.7518314	22.4007763
15438	-19.7518185	22.3961604
15438	-19.7517481	22.4113461
15438	-19.7515646	22.3958085
15438	-19.7502435	22.4024677
15438	-19.7502368	22.4024397
15438	-19.7502334	22.4024366
15438	-19.7502254	22.402447
15438	-19.7501221	22.3960481
15438	-19.7500206	22.4023608
15438	-19.7500121	22.4079024
15438	-19.749675	22.4113695
15438	-19.7490421	22.4034773
15438	-19.7487302	22.4102361
15438	-19.7483476	22.4107373
15438	-19.7483452	22.4107767
15438	-19.748334	22.4107404
15438	-19.7483306	22.4107373
15438	-19.7483306	22.4107373
15438	-19.7483302	22.4108618
15438	-19.748325	22.41073
15438	-19.7483249	22.4107518
15438	-19.7483236	22.4104612
15438	-19.7483169	22.4104332
15438	-19.7483159	22.4107415
15438	-19.7483133	22.41084
15438	-19.7483112	22.4107767
15438	-19.7483089	22.4107944
15438	-19.7483067	22.4107902
15438	-19.7483009	22.4108266
15438	-19.7482796	22.4107591
15438	-19.7481919	22.4105505
15438	-19.7481827	22.4105774
15438	-19.7481793	22.4105743
15438	-19.7481714	22.4105629
15438	-19.7481679	22.4105816
15438	-19.7481567	22.4105671
15438	-19.7481567	22.4105671
15438	-19.7481487	22.4105774
15438	-19.7481431	22.4105702
15438	-19.7481431	22.4105702
15438	-19.7481431	22.4105702
15438	-19.7481317	22.4105774
15438	-19.7480696	22.4108327
15438	-19.7480688	22.4033599
15438	-19.7480422	22.4025245
15438	-19.7479088	22.4124505
15438	-19.7478874	22.4124267
15438	-19.7476917	22.4116494
15438	-19.7474851	22.4080732
15438	-19.7473461	22.4119492
15438	-19.7469769	22.4121992
15438	-19.7466399	22.4113119
15438	-19.7464597	22.4136115
15438	-19.7464111	22.411921
15438	-19.7464064	22.4119563
15438	-19.7464019	22.4119479
15438	-19.7464008	22.411949
15438	-19.7463918	22.4119386
15438	-19.7463608	22.4137173
15438	-19.7463404	22.4120414
15438	-19.7463324	22.4120517
15438	-19.7463109	22.4120652
15438	-19.746281	22.4131631
15438	-19.7462653	22.4131247
15438	-19.7462563	22.4131144
15438	-19.7462539	22.413132
15438	-19.7462529	22.4131113
15438	-19.7462516	22.4131496
15438	-19.7462381	22.4131309
15438	-19.7462313	22.4131247
15438	-19.7459969	22.4120755
15438	-19.7459672	22.412143
15438	-19.7459595	22.4120506
15438	-19.7458725	22.4123163
15438	-19.7454001	22.4119032
15438	-19.7451368	22.415998
15438	-19.7451357	22.4159773
15438	-19.7451335	22.4159513
15438	-19.7451304	22.4108924
15438	-19.7451231	22.4160229
15438	-19.7451198	22.4159762
15438	-19.7451095	22.416026
